customer_id,first_name,last_name,email,country,signup_date,acquisition_channel,plan_type,age,is_active
1,Nina,Martin,nina.martin1@email.com,Switzerland,2022-02-17,organic,basic,18,True
2,Sarah,Thompson,sarah.thompson2@email.com,France,2023-08-25,google_ads,free,62,False
3,Lisa,Becker,lisa.becker3@email.com,Switzerland,2023-02-16,facebook_ads,basic,28,True
4,Elias,Johnson,elias.johnson4@email.com,Netherlands,2023-09-20,organic,premium,43,True
5,Simon,Garcia,simon.garcia5@email.com,UK,2023-06-28,google_ads,basic,38,True
6,Lukas,Garcia,lukas.garcia6@email.com,USA,2024-07-19,google_ads,basic,25,True
7,Mia,Wilson,mia.wilson7@email.com,Austria,2024-05-07,influencer,basic,58,True
8,Marie,Wagner,marie.wagner8@email.com,USA,2022-11-09,email,premium,35,True
9,Stefan,Martin,stefan.martin9@email.com,USA,2022-05-13,organic,basic,57,True
10,Lisa,Koch,lisa.koch10@email.com,Germany,2024-03-01,facebook_ads,basic,63,True
11,Luis,Martin,luis.martin11@email.com,Austria,2024-05-29,influencer,premium,44,True
12,Ben,Wagner,ben.wagner12@email.com,Netherlands,2024-02-06,facebook_ads,basic,28,True
13,Oliver,Schulz,oliver.schulz13@email.com,USA,2023-06-06,google_ads,premium,22,True
14,Hannah,Weber,hannah.weber14@email.com,USA,2023-03-19,tiktok_ads,free,35,True
15,Elias,Richter,elias.richter15@email.com,Germany,2024-10-28,google_ads,basic,44,True
16,Thomas,Jones,thomas.jones16@email.com,Switzerland,2023-11-05,tiktok_ads,premium,52,True
17,Leon,Brown,leon.brown17@email.com,Netherlands,2022-10-13,email,basic,45,True
18,Finn,Johnson,finn.johnson18@email.com,Germany,2024-11-18,organic,premium,27,True
19,Marie,Wolf,marie.wolf19@email.com,USA,2022-11-25,google_ads,premium,60,True
20,Felix,Müller,felix.müller20@email.com,USA,2023-04-18,tiktok_ads,premium,32,True
21,Mia,Schmidt,mia.schmidt21@email.com,USA,2024-06-21,facebook_ads,free,43,False
22,Anna,Garcia,anna.garcia22@email.com,Austria,2024-04-06,google_ads,basic,18,True
23,Leon,Wolf,leon.wolf23@email.com,USA,2023-09-18,facebook_ads,premium,29,True
24,Daniel,Koch,daniel.koch24@email.com,Germany,2024-07-15,influencer,basic,36,True
25,Leon,Brown,leon.brown25@email.com,USA,2022-12-05,facebook_ads,basic,37,True
26,Max,Brown,max.brown26@email.com,UK,2022-01-09,organic,free,64,True
27,Michael,Koch,michael.koch27@email.com,Germany,2023-04-16,tiktok_ads,free,52,True
28,Paul,Garcia,paul.garcia28@email.com,Netherlands,2023-07-20,tiktok_ads,free,33,False
29,Luis,Martin,luis.martin29@email.com,Austria,2024-04-30,influencer,premium,45,True
30,Sarah,Bauer,sarah.bauer30@email.com,UK,2024-06-16,referral,basic,38,True
31,Thomas,Becker,thomas.becker31@email.com,Germany,2024-08-20,tiktok_ads,basic,28,True
32,Hannah,Wagner,hannah.wagner32@email.com,Netherlands,2023-11-13,google_ads,basic,18,True
33,Marie,Schulz,marie.schulz33@email.com,UK,2023-05-29,google_ads,premium,32,True
34,Julia,Neumann,julia.neumann34@email.com,Germany,2024-10-07,referral,basic,33,True
35,Lena,Wagner,lena.wagner35@email.com,UK,2023-03-30,organic,free,21,False
36,Paul,Richter,paul.richter36@email.com,UK,2022-12-18,email,premium,27,True
37,Anna,Fischer,anna.fischer37@email.com,Netherlands,2024-01-10,tiktok_ads,free,64,False
38,Simon,Wolf,simon.wolf38@email.com,Germany,2024-07-19,facebook_ads,basic,65,True
39,Sarah,Klein,sarah.klein39@email.com,Austria,2022-05-01,referral,basic,20,True
40,Felix,Schulz,felix.schulz40@email.com,UK,2023-06-03,facebook_ads,free,26,True
41,Luis,Koch,luis.koch41@email.com,Germany,2022-06-16,organic,basic,18,True
42,Emma,Wolf,emma.wolf42@email.com,UK,2023-04-10,facebook_ads,free,35,True
